phase,flap_angle,optimal_alpha,optimal_CL,optimal_CD,optimal_Cm,optimal_LD,optimal_status,in_preferred_range,CL_max,alpha_at_CL_max,max_LD,alpha_at_max_LD,CL_required,CL_margin,meets_CL_requirement,stall_margin_ratio,safe_stall_margin,total_score
landing,0,9.0,1.105383,0.047684,-0.339712,23.181423538293767,optimal,False,1.904801,17.5,33.739935310715026,2.5,1.097,0.00838300000000003,True,1.736372835004558,True,90.6106177727272
landing,10,6.5,1.115312,0.049016,-0.399369,22.754039497307005,optimal,True,1.904831,17.5,29.03122669649515,1.0,1.097,0.018312000000000106,True,1.7364001823154056,True,89.48907461263462
landing,15,5.5,1.105371,0.051184,-0.41563,21.596026101906848,optimal,True,1.923752,16.5,25.326170756841343,0.5,1.097,0.008371000000000128,True,1.753648131267092,True,88.70209047849247
landing,20,5.0,1.122682,0.057291,-0.433953,19.596132027718138,optimal,True,1.928724,15.5,21.368198874296436,1.0,1.097,0.025681999999999983,True,1.7581804922515953,True,88.37936464319715
landing,25,4.5,1.139254,0.06427,-0.451122,17.72606192624864,optimal,True,1.959496,15.5,18.390594628487825,1.5,1.097,0.042254000000000014,True,1.7862315405651776,True,88.23789907190599
landing,30,3.5,1.098428,0.068426,-0.449968,16.052786952328063,optimal,True,1.963587,15.0,16.11165396183777,2.5,1.097,0.0014279999999999848,True,1.7899608021877849,True,85.03409456996356
landing,5,7.5,1.131176,0.049406,-0.379484,22.89551876290329,optimal,True,1.836388,17.0,31.609327049539672,1.5,1.097,0.034175999999999984,True,1.6740091157702826,True,89.66747082842136
takeoff,0,6.5,0.861196,0.030788,-0.273307,27.971807197609458,optimal,True,1.917931,17.5,33.853611512772844,2.5,0.818,0.04319600000000001,True,2.3446589242053792,True,95.62810189280871
takeoff,10,3.5,0.847099,0.031539,-0.333837,26.858778020863063,optimal,True,1.905994,17.0,29.12465683309292,1.0,0.818,0.029099000000000097,True,2.3300660146699266,True,97.82497591780125
takeoff,15,3.0,0.887953,0.036896,-0.363944,24.066375758889855,optimal,True,1.936997,16.5,25.457166863995724,0.5,0.818,0.06995300000000004,True,2.367966992665037,True,96.30836742121193
takeoff,20,3.0,0.951455,0.045669,-0.394024,20.833716525433008,optimal,True,1.942222,15.5,21.453861003861004,1.0,0.818,0.1334550000000001,True,2.374354523227384,True,95.40113745878816
takeoff,25,3.0,1.01216,0.055498,-0.421886,18.23777433421024,optimal,True,1.97287,15.5,18.439509730226344,1.5,0.818,0.19416,True,2.4118215158924206,True,91.62319193624168
takeoff,30,3.0,1.058387,0.065654,-0.44139,16.12067810034423,optimal,True,1.958127,14.5,16.142332575625108,2.5,0.818,0.24038700000000002,True,2.3937982885085574,True,88.49701640419278
takeoff,5,4.5,0.853144,0.030726,-0.30866,27.766191499056173,optimal,True,1.849501,17.0,31.756890304161633,1.5,0.818,0.035144000000000064,True,2.261003667481663,True,98.41542669073345
